sample_id,map_id,x,y,z,los_x,los_y,los_z,description
ek-sw-fountain,0,-8829.66,629.49,93.95,,,,Stormwind Trade District fountain (canonical reference coord)
ek-sw-mailbox-ah,0,-8862.00,668.00,96.00,,,,Stormwind AH/mailbox near fountain
ek-sw-stockade-portal,0,-8762.00,612.00,95.00,,,,Stockades dungeon portal (instance entrance)
ek-sw-stockade-los,0,-8762.00,612.00,95.00,-8745.00,588.00,90.00,LoS from Stockades portal toward exterior (wall in between)
ek-sw-cathedral-square,0,-8511.00,866.00,109.00,,,,SW Cathedral Square (open area)
ek-if-bank,0,-4825.00,-1180.00,502.00,,,,Ironforge Bank entrance
ek-if-mainbridge-mid,0,-4924.40,-919.36,501.66,,,,Ironforge main bridge midpoint
ek-if-mainbridge-los,0,-4924.40,-919.36,501.66,-4882.00,-870.00,501.00,Ironforge main bridge end-to-end LoS (should be clear)
ek-if-hall-explorers,0,-4807.00,-1107.00,502.00,,,,Ironforge Hall of Explorers ramp
ek-if-forge-lava,0,-4790.00,-952.00,498.00,,,,Ironforge Great Forge lava edge
ek-uc-bank,0,1812.00,240.00,60.00,,,,Undercity Bank (interior)
ek-tirisfal-gates,0,1571.00,240.00,50.00,,,,Tirisfal Glades near UC outdoor entrance
ek-redridge-bridge,0,-9477.00,-1928.00,105.00,,,,Lakeshire bridge (Redridge) — known LoS edge case
ek-stv-bloodvenom-slope,0,-11050.00,-150.00,90.00,,,,Stranglethorn Bloodvenom steep slope (Z-fall hotspot)
ek-bootybay-docks,0,-14269.00,540.00,21.00,,,,Booty Bay docks
ek-bootybay-water,0,-14274.00,500.00,8.00,,,,Booty Bay shoreline (liquid edge)
ek-deadmines-portal,0,-11210.00,1660.00,25.00,,,,Deadmines portal (instance entrance, Westfall)
ek-searing-gorge-slope,0,-6644.00,-1226.00,240.00,,,,Searing Gorge steep slope (Z-fall hotspot)
ek-twilight-highlands-cliff,0,-4317.00,-3829.00,206.00,,,,Twilight Highlands cliff edge (Cata zone, Z-fall)
ek-loch-modan-dam,0,-5409.00,-3417.00,304.00,,,,Loch Modan dam edge (Z-fall hotspot, post-Cata)
ek-stonewrought-dam,0,-5358.00,-2941.00,407.00,,,,Stonewrought Dam mid-bridge (Z-fall + LoS)
kal-org-fountain,1,1633.39,-4439.65,15.41,,,,Orgrimmar Valley of Strength fountain
kal-org-ah,1,1655.00,-4416.00,22.00,,,,Orgrimmar Auction House
kal-org-bank,1,1632.00,-4448.00,22.00,,,,Orgrimmar Valley of Strength bank
kal-org-lava-river,1,1605.00,-4385.00,12.00,,,,Orgrimmar lava river edge (liquid)
kal-org-hall-legends,1,1925.00,-4309.00,19.00,,,,Orgrimmar Hall of Legends
kal-tb-center,1,-1290.00,134.00,130.00,,,,Thunder Bluff central rune
kal-darnassus-pavilion,1,8753.00,970.00,14.00,,,,Darnassus Tradesmen's Terrace
kal-hyjal-base,1,4775.00,-2046.00,1071.00,,,,Mt Hyjal World Tree base (post-Cata phasing zone)
kal-hyjal-cliff,1,4900.00,-2050.00,1080.00,,,,Mt Hyjal cliff edge (Z-fall hotspot)
kal-thousand-needles-water,1,-4156.00,-2257.00,-50.00,,,,Thousand Needles flooded zone (post-Cata redesign, underwater)
kal-mulgore-river,1,-1900.00,-100.00,0.00,,,,Mulgore river crossing (liquid + ground)
kal-azshara-cliff,1,3294.00,-4625.00,150.00,,,,Azshara (post-Cata redesign goblin zone) cliff
out-shattrath-aldor,530,-1880.00,5462.00,71.00,,,,Shattrath Aldor Rise (Outland)
out-hellfire-citadel,530,-304.00,3084.00,33.00,,,,Hellfire Citadel exterior (TBC raid entrance)
out-shattrath-terrace,530,-1660.00,5481.00,1.00,,,,Shattrath Terrace of Light (interior WMO)
out-nagrand-floating,530,-1547.00,7521.00,29.00,,,,Nagrand Throne of Elements
nor-dalaran-eventide,571,5777.00,626.00,658.00,,,,Dalaran Eventide bank (Northrend)
nor-icc-entrance,571,5829.00,2090.00,636.00,,,,Icecrown Citadel entrance (raid)
nor-dalaran-sewer,571,5747.00,533.00,627.00,,,,Dalaran underbelly/sewer (interior WMO)
nor-crystalsong-forest,571,5260.00,-1058.00,165.00,,,,Crystalsong forest below Dalaran
nor-wintergrasp-keep,571,5345.00,2841.00,409.00,,,,Wintergrasp keep center (PvP zone)
deep-therazanes-throne,646,-1097.00,-2199.00,660.00,,,,Therazane's Throne quest hub (Deepholm, Cata)
deep-stonehearth,646,1023.00,651.00,209.00,,,,Stonehearth Earthen Ring HQ (Deepholm)
deep-magma-pool,646,-575.00,-1115.00,-23.00,,,,Deepholm magma pool (liquid magma)
deep-stonecore-entrance,646,1228.00,818.00,234.00,,,,Stonecore dungeon entrance (Deepholm, Cata)
ek-uldum-akhenet,0,-9560.00,-1485.00,15.00,,,,Uldum near pyramid (Cata zone, EK side)
ek-vashjir-shimmering,0,-7036.00,4934.00,-200.00,,,,Vashj'ir Shimmering Expanse (Cata underwater)
ek-tol-barad-keep,0,-650.00,-3690.00,53.00,,,,Tol Barad keep (Cata PvP zone)
kal-uldum-temple,1,-9116.00,-1554.00,77.00,,,,Uldum Lost City of Tol'vir exterior
