sample_id,result,height_vmap,area_id,area_flags,los_blocked,liquid_level,liquid_type,notes
ek-sw-fountain,OK,-200000.000,,,,,,
ek-sw-mailbox-ah,OK,-200000.000,,,,,,
ek-sw-stockade-portal,OK,-200000.000,,,,,,
ek-sw-stockade-los,OK,-200000.000,,,TRUE,,,
ek-sw-cathedral-square,OK,108.774,5782,2149583373,,,,
ek-if-bank,OK,-200000.000,,,,,,
ek-if-mainbridge-mid,OK,496.956,208,14853,,421.226,19,
ek-if-mainbridge-los,OK,496.956,208,14853,FALSE,421.226,19,
ek-if-hall-explorers,OK,498.807,208,14853,,,,
ek-if-forge-lava,OK,482.697,208,14853,,379.495,19,
ek-uc-bank,OK,-200000.000,,,,,,
ek-tirisfal-gates,OK,10.925,,,,,,
ek-redridge-bridge,OK,-200000.000,,,,,,
ek-stv-bloodvenom-slope,OK,-200000.000,,,,,,
ek-bootybay-docks,OK,-200000.000,,,,,,
ek-bootybay-water,OK,-200000.000,,,,,,
ek-deadmines-portal,OK,-200000.000,,,,,,
ek-searing-gorge-slope,OK,225.955,2993,10245,,,,
ek-twilight-highlands-cliff,OK,-200000.000,,,,,,
ek-loch-modan-dam,OK,-200000.000,,,,,,
ek-stonewrought-dam,OK,-200000.000,,,,,,
kal-org-fountain,OK,-200000.000,,,,,,
kal-org-ah,OK,-200000.000,,,,,,
kal-org-bank,OK,17.053,5869,2197825541,,,,
kal-org-lava-river,OK,-200000.000,,,,,,
kal-org-hall-legends,OK,-200000.000,,,,,,
kal-tb-center,OK,-200000.000,,,,,,
kal-darnassus-pavilion,OK,-200000.000,,,,,,
kal-hyjal-base,OK,-200000.000,,,,,,
kal-hyjal-cliff,OK,-200000.000,,,,,,
kal-thousand-needles-water,OK,-200000.000,,,,,,
kal-mulgore-river,OK,-200000.000,,,,,,
kal-azshara-cliff,OK,-200000.000,,,,,,
out-shattrath-aldor,OK,34.600,4594,2057,,,,
out-hellfire-citadel,OK,12.094,4494,9,,,,
out-shattrath-terrace,OK,-41.285,4594,2057,,,,
out-nagrand-floating,OK,-200000.000,,,,,,
nor-dalaran-eventide,OK,649.074,5164,2149582861,,,,
nor-icc-entrance,OK,611.885,5300,2107397,,,,
nor-dalaran-sewer,OK,468.689,5164,2149583373,,,,
nor-crystalsong-forest,OK,-200000.000,,,,,,
nor-wintergrasp-keep,OK,-200000.000,,,,,,
deep-therazanes-throne,OK,-200000.000,,,,,,
deep-stonehearth,OK,156.672,6160,2199914509,,,,
deep-magma-pool,OK,-200000.000,,,,,,
deep-stonecore-entrance,OK,-200000.000,,,,,,
ek-uldum-akhenet,OK,-200000.000,,,,,,
ek-vashjir-shimmering,OK,-434.712,,,,,,
ek-tol-barad-keep,OK,-200000.000,,,,,,
kal-uldum-temple,OK,10.596,,,,,,
